Site_ID,Landscape_Name,Group,SOC_perc
DH03C31,uMfolozi-uMhlatuze,Non-Woody,1.326
DH05C31,uMfolozi-uMhlatuze,Non-Woody,1.255
DH05C32,uMfolozi-uMhlatuze,Non-Woody,2.022
DH09C01,uMfolozi-uMhlatuze,Non-Woody,0.6203
DH09C32,uMfolozi-uMhlatuze,Non-Woody,1.757
DH21C31,uMfolozi-uMhlatuze,Non-Woody,2.932
DH22C01,uMfolozi-uMhlatuze,Non-Woody,2.291
DH22C03,uMfolozi-uMhlatuze,Non-Woody,3.613
DH22C04,uMfolozi-uMhlatuze,Non-Woody,3.776
DH23C01,uMfolozi-uMhlatuze,Non-Woody,3.4602
DH23C02,uMfolozi-uMhlatuze,Non-Woody,4.0492
DH23C03,uMfolozi-uMhlatuze,Non-Woody,1.741
DH23C04,uMfolozi-uMhlatuze,Non-Woody,2.4967
DH25C31,uMfolozi-uMhlatuze,Non-Woody,0.9036
DH26C01,uMfolozi-uMhlatuze,Non-Woody,0.281
DH26C02,uMfolozi-uMhlatuze,Non-Woody,0.4811
DH26C03,uMfolozi-uMhlatuze,Non-Woody,0.5816
DH26C04,uMfolozi-uMhlatuze,Non-Woody,0.8858
DH26C05,uMfolozi-uMhlatuze,Non-Woody,0.7225
DH26C06,uMfolozi-uMhlatuze,Non-Woody,0.9567
DH26C07,uMfolozi-uMhlatuze,Non-Woody,0.3015
DH26C08,uMfolozi-uMhlatuze,Non-Woody,0.3186
DHRFC06,uMfolozi-uMhlatuze,Non-Woody,1.073
DHRFC08,uMfolozi-uMhlatuze,Non-Woody,4.076
DHRFC12,uMfolozi-uMhlatuze,Non-Woody,1.378
DHRFC21,uMfolozi-uMhlatuze,Non-Woody,2.726
DHRFC22,uMfolozi-uMhlatuze,Non-Woody,1.843
DHRFC23,uMfolozi-uMhlatuze,Non-Woody,2.003
DM04C01,uMkhomazi,Non-Woody,3.0857
DM04C32,uMkhomazi,Non-Woody,1.9463
DM05C02,uMkhomazi,Non-Woody,1.3974
DM05C06,uMkhomazi,Non-Woody,1.6409
DM06C02,uMkhomazi,Non-Woody,1.5067
DM06C04,uMkhomazi,Non-Woody,2.0901
DM06C05,uMkhomazi,Non-Woody,2.4485
DM11C01,uMkhomazi,Non-Woody,2.5032
DM11C02,uMkhomazi,Non-Woody,1.2785
DM11C33,uMkhomazi,Non-Woody,3.1902
DM14C03,uMkhomazi,Non-Woody,1.4006
DM14C34,uMkhomazi,Non-Woody,1.4738
DM15C01,uMkhomazi,Non-Woody,2.4316
DM16C01,uMkhomazi,Non-Woody,1.7108
DM16C06,uMkhomazi,Non-Woody,3.4273
DT01C01,Tsitsa,Non-Woody,0.4914
DT01C02,Tsitsa,Non-Woody,0.6932
DT01C04,Tsitsa,Non-Woody,0.9482
DT02C01,Tsitsa,Non-Woody,0.3504
DT02C03,Tsitsa,Non-Woody,0.7039
DT02C04,Tsitsa,Non-Woody,0.4239
DT02C06,Tsitsa,Non-Woody,0.4982
DT02C09,Tsitsa,Non-Woody,0.7911
DT02C15,Tsitsa,Non-Woody,0.2924
DT02C30,Tsitsa,Non-Woody,1.2901
DT02C31,Tsitsa,Non-Woody,1.425
DT02C32,Tsitsa,Non-Woody,0.7549
DT02C33,Tsitsa,Non-Woody,0.4367
DT02C34,Tsitsa,Non-Woody,0.8341
DT02C36,Tsitsa,Non-Woody,0.2956
DT02C37,Tsitsa,Non-Woody,1.713
DT02C38,Tsitsa,Non-Woody,0.5233
DT02C39,Tsitsa,Non-Woody,0.5417
DT04C02,Tsitsa,Non-Woody,0.7519
DT04C03,Tsitsa,Non-Woody,0.4622
DT04C04,Tsitsa,Non-Woody,0.5611
DT05C01,Tsitsa,Non-Woody,0.3208
DT06C01,Tsitsa,Non-Woody,0.999
DT06C02,Tsitsa,Non-Woody,0.9648
DT06C03,Tsitsa,Non-Woody,0.9252
DT06C04,Tsitsa,Non-Woody,1.0142
DT11C01,Tsitsa,Non-Woody,0.7795
DT11C03,Tsitsa,Non-Woody,1.2062
DT11C31,Tsitsa,Non-Woody,0.5484
DT11C33,Tsitsa,Non-Woody,0.7486
DT11C38,Tsitsa,Non-Woody,0.458
DT11C39,Tsitsa,Non-Woody,0.4676
DT13C01,Tsitsa,Non-Woody,0.9056
DT13C03,Tsitsa,Non-Woody,0.4056
DT13C04,Tsitsa,Non-Woody,0.8229
DT13C05,Tsitsa,Non-Woody,0.7137
DT13C06,Tsitsa,Non-Woody,0.1568
DT13C07,Tsitsa,Non-Woody,0.724
DT13C30,Tsitsa,Non-Woody,0.7148
DT13C38,Tsitsa,Non-Woody,0.6401
DT13C39,Tsitsa,Non-Woody,1.0824
DT13C92,Tsitsa,Non-Woody,0.4805
DT14C01,Tsitsa,Non-Woody,0.6601
DT14C02,Tsitsa,Non-Woody,0.6789
DT14C03,Tsitsa,Non-Woody,1.4432
DT14C04,Tsitsa,Non-Woody,0.3262
DT14C05,Tsitsa,Non-Woody,1.0776
DT14C06,Tsitsa,Non-Woody,1.0961
DT15C01,Tsitsa,Non-Woody,1.6628
DT15C02,Tsitsa,Non-Woody,0.4164
DT15C03,Tsitsa,Non-Woody,0.6164
DH01A01,uMfolozi-uMhlatuze,Non-Woody,1.542
DH01A02,uMfolozi-uMhlatuze,Non-Woody,1.556
DH01A06,uMfolozi-uMhlatuze,Non-Woody,1.771
DH01A14,uMfolozi-uMhlatuze,Non-Woody,2.109
DH01A16,uMfolozi-uMhlatuze,Non-Woody,1.671
DH04A02,uMfolozi-uMhlatuze,Non-Woody,1.155
DH04A10,uMfolozi-uMhlatuze,Non-Woody,1.264
DH04A11,uMfolozi-uMhlatuze,Non-Woody,1.068
DH04W01,uMfolozi-uMhlatuze,Woody,2.03
DH05A02,uMfolozi-uMhlatuze,Non-Woody,1.667
DH05W01,uMfolozi-uMhlatuze,Woody,2.216
DH10A04,uMfolozi-uMhlatuze,Non-Woody,1.975
DH11A01,uMfolozi-uMhlatuze,Non-Woody,2.657
DH11W01,uMfolozi-uMhlatuze,Woody,1.882
DH17A02,uMfolozi-uMhlatuze,Non-Woody,3.322
DH17A03,uMfolozi-uMhlatuze,Non-Woody,1.139
DH17A04,uMfolozi-uMhlatuze,Non-Woody,1.157
DH17A05,uMfolozi-uMhlatuze,Non-Woody,0.5137
DH17A06,uMfolozi-uMhlatuze,Non-Woody,0.3128
DH17A07,uMfolozi-uMhlatuze,Non-Woody,3.316
DH17A08,uMfolozi-uMhlatuze,Non-Woody,0.955
DH17A09,uMfolozi-uMhlatuze,Non-Woody,0.6868
DH17A10,uMfolozi-uMhlatuze,Non-Woody,1.283
DH19A01,uMfolozi-uMhlatuze,Non-Woody,3.939
DH19W01,uMfolozi-uMhlatuze,Woody,3.503
DH21A01,uMfolozi-uMhlatuze,Non-Woody,6.121
DH21A02,uMfolozi-uMhlatuze,Non-Woody,4.31
DH21A03,uMfolozi-uMhlatuze,Non-Woody,7.427
DH21A04,uMfolozi-uMhlatuze,Non-Woody,4.669
DH21A05,uMfolozi-uMhlatuze,Non-Woody,5.654
DH21A06,uMfolozi-uMhlatuze,Non-Woody,4.485
DH21A07,uMfolozi-uMhlatuze,Non-Woody,4.584
DH21A08,uMfolozi-uMhlatuze,Non-Woody,4.683
DH21W01,uMfolozi-uMhlatuze,Woody,4.776
DH21W02,uMfolozi-uMhlatuze,Woody,3.772
DH21W03,uMfolozi-uMhlatuze,Woody,6.208
DH22W01,uMfolozi-uMhlatuze,Woody,3.446
DH22W02,uMfolozi-uMhlatuze,Woody,2.349
DH22W03,uMfolozi-uMhlatuze,Woody,4.074
DH22W04,uMfolozi-uMhlatuze,Woody,5.452
DH24W01,uMfolozi-uMhlatuze,Woody,1.484
DH25A02,uMfolozi-uMhlatuze,Non-Woody,2.081
DH25A05,uMfolozi-uMhlatuze,Non-Woody,1.931
DH25W01,uMfolozi-uMhlatuze,Woody,2.04
DM04A01,uMkhomazi,Non-Woody,7.132
DM04A10,uMkhomazi,Non-Woody,5.471
DM04A13,uMkhomazi,Non-Woody,4.119
DM04B08,uMkhomazi,Non-Woody,6.354
DM05A01,uMkhomazi,Non-Woody,2.013
DM05B02,uMkhomazi,Non-Woody,1.976
DM05B03,uMkhomazi,Non-Woody,2.023
DM05W01,uMkhomazi,Woody,2.171
DM06B01,uMkhomazi,Non-Woody,1.524
DM06B03,uMkhomazi,Non-Woody,1.507
DM06B14,uMkhomazi,Non-Woody,1.462
DM06B15,uMkhomazi,Non-Woody,1.488
DM06W01,uMkhomazi,Woody,1.155
DM06W02,uMkhomazi,Woody,0.968
DM06W03,uMkhomazi,Woody,1.109
DM06W04,uMkhomazi,Woody,1.186
DM06W05,uMkhomazi,Woody,1.085
DM07A01,uMkhomazi,Non-Woody,4.867
DM07B02,uMkhomazi,Non-Woody,3.33
DM09A02,uMkhomazi,Non-Woody,1.455
DM09A03,uMkhomazi,Non-Woody,1.431
DM09A04,uMkhomazi,Non-Woody,1.446
DM09B01,uMkhomazi,Non-Woody,1.137
DM11A01,uMkhomazi,Non-Woody,3.744
DM11B02,uMkhomazi,Non-Woody,5.442
DM12A01,uMkhomazi,Non-Woody,2.25
DM12A03,uMkhomazi,Non-Woody,2.129
DM12A12,uMkhomazi,Non-Woody,2.101
DM12B02,uMkhomazi,Non-Woody,2.125
DM14A01,uMkhomazi,Non-Woody,2.251
DM14A02,uMkhomazi,Non-Woody,2.646
DM14A03,uMkhomazi,Non-Woody,2.693
DM14W01,uMkhomazi,Woody,2.442
DM14W02,uMkhomazi,Woody,1.275
DM15B01,uMkhomazi,Non-Woody,3.54
DM15B02,uMkhomazi,Non-Woody,3.393
DM15B03,uMkhomazi,Non-Woody,3.46
DM16A01,uMkhomazi,Non-Woody,2.664
DM16A03,uMkhomazi,Non-Woody,4.03
DM16B02,uMkhomazi,Non-Woody,3.84
DM16W01,uMkhomazi,Woody,2.461
DM16W02,uMkhomazi,Woody,2.806
DM17B01,uMkhomazi,Non-Woody,1.63
DM17B02,uMkhomazi,Non-Woody,4.17
DM17B03,uMkhomazi,Non-Woody,3.592
DM17W01,uMkhomazi,Woody,3.551
DM18A01,uMkhomazi,Non-Woody,2.968
DM18B06,uMkhomazi,Non-Woody,4.016
DM18B07,uMkhomazi,Non-Woody,3.477
DM18W01,uMkhomazi,Woody,0.892
DM18W02,uMkhomazi,Woody,1.005
DM18W03,uMkhomazi,Woody,0.915
DM18W04,uMkhomazi,Woody,0.893
DM18W05,uMkhomazi,Woody,0.899
DM18W06,uMkhomazi,Woody,0.856
DM18W07,uMkhomazi,Woody,0.892
DM19B03,uMkhomazi,Non-Woody,1.317
DM19B05,uMkhomazi,Non-Woody,1.318
DM19B07,uMkhomazi,Non-Woody,1.286
DM20A01,uMkhomazi,Non-Woody,1.201
DM20A03,uMkhomazi,Non-Woody,1.442
DM20A04,uMkhomazi,Non-Woody,1.397
DM20B02,uMkhomazi,Non-Woody,1.436
DM21W01,uMkhomazi,Woody,1.556
DT01W01,Tsitsa,Woody,1.142
DT01W02,Tsitsa,Woody,1.534
DT01W03,Tsitsa,Woody,1.21
DT01W04,Tsitsa,Woody,1.814
DT01W05,Tsitsa,Woody,0.8799
DT01W06,Tsitsa,Woody,1.277
DT02W01,Tsitsa,Woody,0.9787
DT03A06,Tsitsa,Non-Woody,3.416
DT03B01,Tsitsa,Non-Woody,1.056
DT03B08,Tsitsa,Non-Woody,0.9005
DT03B09,Tsitsa,Non-Woody,1.637
DT03B14,Tsitsa,Non-Woody,1.333
DT03W01,Tsitsa,Woody,2.261
DT03W02,Tsitsa,Woody,3.505
DT03W03,Tsitsa,Woody,1.112
DT04W01,Tsitsa,Woody,1.399
DT04W02,Tsitsa,Woody,1.594
DT04W03,Tsitsa,Woody,0.3292
DT04W04,Tsitsa,Woody,0.9363
DT06W01,Tsitsa,Woody,0.8115
DT06W02,Tsitsa,Woody,1.995
DT06W03,Tsitsa,Woody,1.417
DT07A04,Tsitsa,Non-Woody,2.031
DT07A06,Tsitsa,Non-Woody,2.38
DT07B05,Tsitsa,Non-Woody,1.78
DT08A10,Tsitsa,Non-Woody,1.739
DT08A20,Tsitsa,Non-Woody,0.6904
DT08A22,Tsitsa,Non-Woody,0.3861
DT08B02,Tsitsa,Non-Woody,0.7207
DT08B06,Tsitsa,Non-Woody,0.4583
DT08B11,Tsitsa,Non-Woody,0.4839
DT08B19,Tsitsa,Non-Woody,1.69
DT08W01,Tsitsa,Woody,0.6097
DT09B01,Tsitsa,Non-Woody,1.379
DT09B03,Tsitsa,Non-Woody,1.785
DT09B04,Tsitsa,Non-Woody,1.017
DT09W01,Tsitsa,Woody,1.137
DT09W02,Tsitsa,Woody,1.44
DT10A02,Tsitsa,Non-Woody,1.489
DT10A09,Tsitsa,Non-Woody,0.7297
DT10B01,Tsitsa,Non-Woody,1.567
DT10B05,Tsitsa,Non-Woody,3.398
DT10B06,Tsitsa,Non-Woody,0.4227
DT10B07,Tsitsa,Non-Woody,1.32
DT10W01,Tsitsa,Woody,1.316
DT10W02,Tsitsa,Woody,4.745
DT10W03,Tsitsa,Woody,1.334
DT11W01,Tsitsa,Woody,2.515
DT12A09,Tsitsa,Non-Woody,0.9864
DT12A16,Tsitsa,Non-Woody,3.613
DT12B06,Tsitsa,Non-Woody,1.036
DT12B10,Tsitsa,Non-Woody,2.708
DT12W01,Tsitsa,Woody,1.329
DT12W02,Tsitsa,Woody,0.9498
DT13W01,Tsitsa,Woody,0.9368
DT13W02,Tsitsa,Woody,1.014
DT13W03,Tsitsa,Woody,1.261
DT15W01,Tsitsa,Woody,2.619
DT15W02,Tsitsa,Woody,0.6013
DT15W03,Tsitsa,Woody,2.196
DH05A03,uMfolozi-uMhlatuze,Non-Woody,2.1
DH05A04,uMfolozi-uMhlatuze,Non-Woody,2.13
DH05A05,uMfolozi-uMhlatuze,Non-Woody,2.22
DH05A06,uMfolozi-uMhlatuze,Non-Woody,1.44
DH05D01,uMfolozi-uMhlatuze,Non-Woody,1.26
DH05D02,uMfolozi-uMhlatuze,Non-Woody,2.02
DH09C02,uMfolozi-uMhlatuze,Non-Woody,1.76
DH16A15,uMfolozi-uMhlatuze,Non-Woody,3.59
DHRFD06,uMfolozi-uMhlatuze,Non-Woody,1.07
DHRFD08,uMfolozi-uMhlatuze,Non-Woody,4.08
DHRFD10,uMfolozi-uMhlatuze,Non-Woody,2.93
DHRFD11,uMfolozi-uMhlatuze,Non-Woody,0.9
DHRFD12,uMfolozi-uMhlatuze,Non-Woody,1.38
DHRFD13,uMfolozi-uMhlatuze,Non-Woody,1.33
DHRFD20,uMfolozi-uMhlatuze,Non-Woody,4.8
DHRFD21,uMfolozi-uMhlatuze,Non-Woody,2.73
DHRFD22,uMfolozi-uMhlatuze,Non-Woody,1.84
DHRFD23,uMfolozi-uMhlatuze,Non-Woody,2
DHRFD26,uMfolozi-uMhlatuze,Non-Woody,4.6525
DM04D01,uMkhomazi,Non-Woody,3.84
DM04D02,uMkhomazi,Non-Woody,1.59
DM05D02,uMkhomazi,Non-Woody,1.74
DM05D03,uMkhomazi,Non-Woody,1.74
DM05D04,uMkhomazi,Non-Woody,1.83
DM05D06,uMkhomazi,Non-Woody,2.04
DM06C01,uMkhomazi,Non-Woody,2.13
DM06C06,uMkhomazi,Non-Woody,4.27
DM11D01,uMkhomazi,Non-Woody,3.545
DM11D02,uMkhomazi,Non-Woody,2.42
DT01D01,Tsitsa,Non-Woody,0.61
DT01D02,Tsitsa,Non-Woody,0.86
DT01D03,Tsitsa,Non-Woody,0.59
DT01D04,Tsitsa,Non-Woody,1.18
DT02C02,Tsitsa,Non-Woody,0.54
DT02C05,Tsitsa,Non-Woody,0.94
DT02C07,Tsitsa,Non-Woody,1.426666667
DT02C08,Tsitsa,Non-Woody,0.68
DT02C10,Tsitsa,Non-Woody,1.315
DT02C11,Tsitsa,Non-Woody,0.67
DT02C12,Tsitsa,Non-Woody,0.523333333
DT02C14,Tsitsa,Non-Woody,1.716666667
DT02C16,Tsitsa,Non-Woody,0.37
DT02D02,Tsitsa,Non-Woody,0.94
DT02D03,Tsitsa,Non-Woody,0.58
DT02D04,Tsitsa,Non-Woody,0.7
DT02V01,Tsitsa,Woody,0.98
DT04V03,Tsitsa,Woody,0.33
DT11D01,Tsitsa,Non-Woody,0.97
DT11D02,Tsitsa,Non-Woody,0.9
DT11D03,Tsitsa,Non-Woody,1.5
DT13D01,Tsitsa,Non-Woody,1.13
DT13D02,Tsitsa,Non-Woody,0.6
DT13D03,Tsitsa,Non-Woody,0.5
DT13D04,Tsitsa,Non-Woody,1.02
DT13D05,Tsitsa,Non-Woody,0.89
DT13D06,Tsitsa,Non-Woody,0.2
DT13D07,Tsitsa,Non-Woody,0.89
DT13D08,Tsitsa,Non-Woody,1.35
DT13D09,Tsitsa,Non-Woody,0.57
DT13D10,Tsitsa,Non-Woody,0.58
DT13D11,Tsitsa,Non-Woody,0.93
DT13D12,Tsitsa,Non-Woody,0.8
DT15V01,Tsitsa,Woody,2.62
DT15V02,Tsitsa,Woody,0.6
DB03B04,KwaBhaca,Non-Woody,3.22
DB03A02,KwaBhaca,Non-Woody,2.35
DB03A01,KwaBhaca,Non-Woody,2.79
DB03B09,KwaBhaca,Non-Woody,3.69
DB03A06,KwaBhaca,Non-Woody,2.61
DB04B02,KwaBhaca,Non-Woody,2.44
DB04A29,KwaBhaca,Non-Woody,0.43
DB06B10,KwaBhaca,Non-Woody,1.12
DB04W04,KwaBhaca,Woody,2.74
DB04W08,KwaBhaca,Woody,2.05
DB04W09,KwaBhaca,Woody,2.4
DB04A22,KwaBhaca,Non-Woody,3.42
DB04W02,KwaBhaca,Woody,2.17
DB04B23,KwaBhaca,Non-Woody,3.37
DB06A08,KwaBhaca,Non-Woody,1.73
DB05A03,KwaBhaca,Non-Woody,0.87
DB04A28,KwaBhaca,Non-Woody,0.33
DB05B01,KwaBhaca,Non-Woody,2.69
DB05A04,KwaBhaca,Non-Woody,0.86
DB05B02,KwaBhaca,Non-Woody,2.72
DB05W04,KwaBhaca,Woody,2.51
DB05W05,KwaBhaca,Woody,2.58
DB06A07,KwaBhaca,Non-Woody,0.98
DB06W01,KwaBhaca,Woody,0.46
DB06A05,KwaBhaca,Non-Woody,0.89
DB05W06,KwaBhaca,Woody,3.35
DB04B01,KwaBhaca,Non-Woody,3.71
DB04A04,KwaBhaca,Non-Woody,3.65
DB02A02,KwaBhaca,Non-Woody,2.48
DB01B02,KwaBhaca,Non-Woody,2.68
DB02A01,KwaBhaca,Non-Woody,3.69
DB01A01,KwaBhaca,Non-Woody,3.8
DB01B03,KwaBhaca,Non-Woody,2.14
DB04A03,KwaBhaca,Non-Woody,2.69
DB04A02,KwaBhaca,Non-Woody,3.02
DH32A24,uMfolozi-uMhlatuze,Non-Woody,1
DH32A08,uMfolozi-uMhlatuze,Non-Woody,0.9
DH32A15,uMfolozi-uMhlatuze,Non-Woody,1.76
DH32A12,uMfolozi-uMhlatuze,Non-Woody,0.92
DH32A33,uMfolozi-uMhlatuze,Non-Woody,0.34
DH32A18,uMfolozi-uMhlatuze,Non-Woody,1.08
DH52A04,uMfolozi-uMhlatuze,Non-Woody,4.84
DH52A03,uMfolozi-uMhlatuze,Non-Woody,2.74
DH53A04,uMfolozi-uMhlatuze,Non-Woody,0.81
DH53A06,uMfolozi-uMhlatuze,Non-Woody,2.62
DH52A05,uMfolozi-uMhlatuze,Non-Woody,2.88
DH55A03,uMfolozi-uMhlatuze,Non-Woody,2.29
DH55A02,uMfolozi-uMhlatuze,Non-Woody,3.72
DH56A06,uMfolozi-uMhlatuze,Non-Woody,0.98
DH56A05,uMfolozi-uMhlatuze,Non-Woody,1.38
DH38A07,uMfolozi-uMhlatuze,Non-Woody,3.35
DH45A01,uMfolozi-uMhlatuze,Non-Woody,3.54
DH47A01,uMfolozi-uMhlatuze,Non-Woody,2.87
DH49A02,uMfolozi-uMhlatuze,Non-Woody,5.75
DH47A02,uMfolozi-uMhlatuze,Non-Woody,5.34
DH48A09,uMfolozi-uMhlatuze,Non-Woody,4.9
DH64A01,uMfolozi-uMhlatuze,Non-Woody,0.94
DH64A02,uMfolozi-uMhlatuze,Non-Woody,2.96
DH64A03,uMfolozi-uMhlatuze,Non-Woody,2.35
DH64A04,uMfolozi-uMhlatuze,Non-Woody,1.72
DH62A01,uMfolozi-uMhlatuze,Non-Woody,2.21
DH62A02,uMfolozi-uMhlatuze,Non-Woody,1.28
DH62A05,uMfolozi-uMhlatuze,Non-Woody,4.31
DH62A06,uMfolozi-uMhlatuze,Non-Woody,1.26
DH56A01,uMfolozi-uMhlatuze,Non-Woody,1.6
DH56A03,uMfolozi-uMhlatuze,Non-Woody,2.24
DH56A07,uMfolozi-uMhlatuze,Non-Woody,1.26
DH39A06,uMfolozi-uMhlatuze,Non-Woody,2.2
DH39A07,uMfolozi-uMhlatuze,Non-Woody,2.15
DH39A08,uMfolozi-uMhlatuze,Non-Woody,1.4
DH40A01,uMfolozi-uMhlatuze,Non-Woody,0.89
DH66A01,uMfolozi-uMhlatuze,Non-Woody,2.49
DH66A05,uMfolozi-uMhlatuze,Non-Woody,5.25
DH27A08,uMfolozi-uMhlatuze,Non-Woody,3.11
DH27A15,uMfolozi-uMhlatuze,Non-Woody,0.75
DH27A09,uMfolozi-uMhlatuze,Non-Woody,4.33
DH27A10,uMfolozi-uMhlatuze,Non-Woody,0.31
DH67A02,uMfolozi-uMhlatuze,Non-Woody,0.47
DH58A01,uMfolozi-uMhlatuze,Non-Woody,1.52
DH58A02,uMfolozi-uMhlatuze,Non-Woody,0.68
DH58A03,uMfolozi-uMhlatuze,Non-Woody,0.43
DH63A21,uMfolozi-uMhlatuze,Non-Woody,1.64
DH63A16,uMfolozi-uMhlatuze,Non-Woody,1.29
DH40A04,uMfolozi-uMhlatuze,Non-Woody,0.46
DH50A02,uMfolozi-uMhlatuze,Non-Woody,3.87
DH40A03,uMfolozi-uMhlatuze,Non-Woody,0.53
DH40A08,uMfolozi-uMhlatuze,Non-Woody,0.56
DH50A04,uMfolozi-uMhlatuze,Non-Woody,5.81
DH50A03,uMfolozi-uMhlatuze,Non-Woody,10.33
DH40A05,uMfolozi-uMhlatuze,Non-Woody,0.35
DH63A01,uMfolozi-uMhlatuze,Non-Woody,1.51
DH63A04,uMfolozi-uMhlatuze,Non-Woody,1.21
DH63A09,uMfolozi-uMhlatuze,Non-Woody,1.15
DH28A08,uMfolozi-uMhlatuze,Non-Woody,1.3
DH28A04,uMfolozi-uMhlatuze,Non-Woody,1.45
DH28A01,uMfolozi-uMhlatuze,Non-Woody,2.45
DH28A02,uMfolozi-uMhlatuze,Non-Woody,2.79
DH50A07,uMfolozi-uMhlatuze,Non-Woody,10.55
DH27A04,uMfolozi-uMhlatuze,Non-Woody,1.12
